id,store_name,store_type,part_of_the_city,district,address,nationality,business_queue,num_of_cashiers,product,price_in_huf,position_on_the_shelf,discounted,person,date_time
16_1,SPAR szupermarket,Supermarket,inner,9,"Budapest, Üllői út 147, 1091",Dutch,3,2,Coca Cola 0.5l plastic bottle,259,top,no,Sara,9.28 12:14
16_2,SPAR szupermarket,Supermarket,inner,9,"Budapest, Üllői út 147, 1091",Dutch,3,2,Nutella 400g,1289,top,no,Sara,9.28 12:14
17_1,Spar szupermarket,Supermarket,inner,9,"Budapest, Lobogó u. 14, 1098",Dutch,2,1,Coca Cola 0.5l plastic bottle,259,middle,no,Sara,9.28 13:56
17_2,Spar szupermarket,Supermarket,inner,9,"Budapest, Lobogó u. 14, 1098",Dutch,2,1,Nutella 400g,1289,top,no,Sara,9.28 13:56
18_1,LIDL,Grocery Store,inner,9,"Budapest, Lobogó u. 12, 1098",German,3,2,Coca Cola 0.5l plastic bottle,259,top,no,Sara,9.28 14:04
18_2,LIDL,Grocery Store,inner,9,"Budapest, Lobogó u.12, 1098",German,3,2,Nutella 400g,1289,bottom,no,Sara,9.28 14:04
19_1,DM,Drug store,inner,9,"Budapest, Napfény u. 7, 1098",German,0,1,Coca Cola 0.5l plastic bottle,339,middle,no,Sara,9.28 14:13
19_2,DM,Drug store,inner,9,"Budapest, Napfény u. 7, 1098",German,0,1,Nutella 400g,N/A,N/A,N/A,Sara,9.28 14:13
20_1,Slin Market,Discount Supermarket,inner,9,"Budapest, Toronyház u. 3, 1098",Asian,1,1,Coca Cola 0.5l plastic bottle,290,middle,no,Sara,9.28 14:31
20_2,Slin Market,Discount Supermarket,inner,9,"Budapest, Toronyház u. 3, 1098",Asian,1,1,Nutella 400g,1315,middle,no,Sara,9.28 14:31
21_1,Élelmiszer és vegyes áruház ,Supermarket,outer,16,"Budapest, Cziráki u. 9, 1163",Asian,3,1,Coca Cola 0.5l plastic bottle,219,top,no,Rauhan,9.28 17:46
21_2,Élelmiszer és vegyes áruház ,Supermarket,outer,16,"Budapest, Cziráki u. 9, 1163",Asian,3,1,Nutella 400g,1299,bottom,no,Rauhan,9.28 17:46
